Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,OperationalStatus,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,Score,Rank,BrandingActive_flag,CleaningRequired_flag,RollingStockFitnessExpiry_days,SignallingFitnessExpiry_days,TelecomFitnessExpiry_days,eligible,RL_priority,ReasonForStatus
Tapti,T02,15-09-2025,TRUE,TRUE,TRUE,14-05-2026,22-04-2026,17-03-2026,close,0,0,01-02-2025,TRUE,KMM-RLJ-WRP-25-02,305,320,16,15033,1489,8511,11,17,FALSE,free,,20-01-2023,1,0,1,in_service,0,0.953125,8511,0,0,77.0,1,1,0,241,219,183,1,187.0,selected
Narmada,T19,15-09-2025,TRUE,TRUE,TRUE,30-09-2026,16-08-2026,08-07-2026,close,0,1,08-02-2023,FALSE,,0,0,0,9470,1365,8635,14,18,FALSE,free,,13-06-2024,10,1,2,in_service,0,1,8635,0,1,77.0,2,0,0,380,335,296,1,175.0,selected
Aruth,T05,15-09-2025,TRUE,TRUE,TRUE,05-12-2026,30-09-2026,29-04-2026,close,0,1,19-08-2025,FALSE,,0,0,0,6584,1533,8467,78,8,FALSE,free,,06-04-2023,10,0,1,in_service,0,1,8467,0,0,72.0,3,0,0,446,380,226,1,172.0,selected
Pampa,T18,15-09-2025,TRUE,TRUE,TRUE,19-07-2026,24-05-2026,29-03-2026,close,0,5,28-08-2024,FALSE,,0,0,0,15135,6435,3565,72,24,FALSE,free,,03-12-2023,13,2,3,in_service,0,1,3565,0,2,71.44,4,0,0,307,251,195,1,167.44,selected
Nila,T03,15-09-2025,TRUE,TRUE,TRUE,08-07-2026,11-01-2026,02-06-2026,close,0,2,02-03-2025,FALSE,,0,0,0,44506,1899,8101,59,38,FALSE,free,,17-08-2023,12,1,2,in_service,0,1,8101,0,1,71.0,5,0,0,296,118,260,1,169.0,selected
Pavan,T25,15-09-2025,TRUE,TRUE,TRUE,14-09-2026,27-10-2026,18-06-2026,close,0,7,14-08-2025,TRUE,KMM-RLJ-WRP-25-13,320,320,0,358703,902,9098,43,7,FALSE,free,,30-01-2023,13,1,2,in_service,0,1,9098,0,1,70.0,6,1,0,364,407,276,1,178.0,selected
Mahe,T20,15-09-2025,TRUE,TRUE,TRUE,12-02-2026,07-01-2026,20-05-2026,close,0,1,07-06-2025,FALSE,,0,0,0,480987,1173,8827,63,5,FALSE,free,,25-05-2023,16,0,1,in_service,0,1,8827,0,0,68.0,7,0,0,150,114,247,1,168.0,selected
Kaveri,T16,15-09-2025,TRUE,TRUE,TRUE,17-03-2026,09-04-2026,11-02-2026,close,0,5,09-05-2025,FALSE,,0,0,0,400011,2014,7986,78,23,FALSE,free,,01-01-2023,1,3,3,in_service,0,1,7986,0,3,65.0,8,0,0,183,206,149,1,159.0,selected
Bhavani,T09,15-09-2025,TRUE,TRUE,TRUE,25-02-2026,21-05-2026,18-04-2026,open,1,1,20-10-2025,TRUE,KMM-RLJ-WRP-25-05,303,320,16,126254,693,9307,25,99,FALSE,free,,01-07-2024,2,0,1,under_maintenance,1,0.946875,9307,0,0,62.5,9,1,0,163,248,215,1,167.5,hvac_maintenance
Mandakini,T11,15-09-2025,TRUE,TRUE,TRUE,11-06-2026,14-09-2026,21-08-2026,open,1,7,17-05-2024,TRUE,KMM-RLJ-WRP-25-06,288,320,16,221291,4244,5756,14,100,FALSE,free,,21-03-2024,3,0,1,under_maintenance,1,0.9,5756,0,0,61.0,10,1,0,269,364,340,1,166.0,hvac_maintenance
Yamuna,T12,15-09-2025,TRUE,TRUE,TRUE,23-04-2026,19-02-2026,09-11-2026,open,2,2,09-05-2024,FALSE,,0,0,0,9798,2648,7352,85,95,FALSE,free,,14-04-2023,9,0,1,under_maintenance,2,1,7352,0,0,57.0,11,0,0,220,157,420,1,147.0,brake_maintenance
Sarayu,T04,15-09-2025,TRUE,TRUE,TRUE,09-21-2026,14-03-2026,10-08-2026,open,1,5,15-06-2025,TRUE,KMM-RLJ-WRP-25-03,308,320,16,384655,7466,1553,45,3,TRUE,in_progress,BAY_02,30-04-2023,10,2,3,in_service,1,0.9625,1553,1,2,56.45,12,1,1,371,180,329,1,157.45,selected
Ganga,T24,15-09-2025,TRUE,TRUE,TRUE,05-05-2026,22-11-2026,16-03-2026,open,1,7,04-05-2025,TRUE,KMM-RLJ-WRP-25-12,318,320,16,45820,5125,4875,42,37,TRUE,booked,BAY_07,11-04-2023,3,1,2,in_service,1,0.99375,4875,1,1,55.12,13,1,1,232,433,182,1,158.12,selected
Jhanavi,T07,15-09-2025,TRUE,TRUE,TRUE,03-08-2026,27-05-2026,01-12-2026,open,1,1,23-08-2024,TRUE,KMM-RLJ-WRP-25-04,298,320,16,222811,6534,3466,91,65,FALSE,free,,15-07-2024,1,0,1,under_maintenance,1,0.93125,3466,0,0,54.53,14,1,0,322,254,442,1,159.53,brake_maintenance
Shiriya,T17,15-09-2025,TRUE,TRUE,TRUE,22-10-2026,03-12-2026,14-11-2026,open,1,2,05-11-2024,TRUE,KMM-RLJ-WRP-25-09,318,320,16,170638,1259,8741,21,13,TRUE,in_progress,BAY_03,31-10-2024,2,1,2,in_service,1,0.99375,8741,1,1,54.0,15,1,1,402,444,425,1,157.0,selected
