TrainID,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,OpenJobCards,BrandingActive_flag,MileageSinceLastServiceKM,CleaningRequired_flag,CleaningSlotStatus,JobCardStatus,ClosedJobCards,LastJobCardUpdate_days,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageBalanceVariance,MileageBalanceAbs,BrakepadWear%,HVACWear%,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,JobCardStatus_enc,Score,Rank,LastCleanedDate_days,AssignedAction,DayIndex
TRAIN_000,28.0,28.0,28.0,0,0,5800,0,0,0,0,0,0,0,0,800,113066.66666666667,384.0,0,0,0,0,0,0,0,54.94246574524667,11,30.0,0,2
TRAIN_001,28.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,113066.66666666667,416.0,0,0,0,0,0,0,0,3171.339345752867,2,,2,2
TRAIN_002,28.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,400,113066.66666666667,16.0,0,0,0,0,0,0,0,51.64246574899667,19,30.0,0,2
TRAIN_003,28.0,28.0,28.0,0,0,5400,0,0,0,0,0,0,0,0,400,113066.66666666667,16.0,0,0,0,0,0,0,0,51.64246574899667,19,30.0,2,2
TRAIN_004,28.0,28.0,28.0,1,0,5800,0,0,0,0,0,0,0,0,800,113066.66666666667,384.0,0,0,0,0,0,0,0,56.19246562024668,9,30.0,0,2
TRAIN_005,28.0,28.0,28.0,0,0,5800,0,0,0,0,0,0,0,0,800,113066.66666666667,384.0,0,0,0,0,0,0,0,54.94246574524667,11,30.0,0,2
TRAIN_006,28.0,28.0,28.0,0,0,5800,0,0,0,0,0,0,0,0,800,113066.66666666667,384.0,0,0,0,0,0,0,0,54.94246574524667,11,30.0,2,2
TRAIN_007,28.0,28.0,28.0,0,0,5800,0,0,0,0,0,0,0,0,800,113066.66666666667,384.0,0,0,0,0,0,0,0,54.94246574524667,11,30.0,0,2
TRAIN_008,28.0,28.0,28.0,1,0,5800,0,0,0,0,0,0,0,0,800,113066.66666666667,384.0,0,0,0,0,0,0,0,56.19246562024668,9,30.0,0,2
TRAIN_009,28.0,28.0,28.0,1,0,5400,0,0,0,0,0,0,0,0,400,113066.66666666667,16.0,0,0,0,0,0,0,0,52.892465623996685,18,30.0,1,2
TRAIN_010,28.0,28.0,28.0,0,0,5800,0,0,0,0,0,0,0,0,800,113066.66666666667,384.0,0,0,0,0,0,0,0,54.94246574524667,11,30.0,0,2
TRAIN_011,28.0,28.0,28.0,0,0,5400,0,0,0,0,0,0,0,0,400,113066.66666666667,16.0,0,0,0,0,0,0,0,51.64246574899667,19,30.0,0,2
TRAIN_012,28.0,28.0,28.0,0,0,5800,0,0,0,0,0,0,0,0,800,113066.66666666667,384.0,0,0,0,0,0,0,0,54.94246574524667,11,30.0,0,2
TRAIN_013,28.0,28.0,28.0,0,0,5800,0,0,0,0,0,0,0,0,800,113066.66666666667,384.0,0,0,0,0,0,0,0,54.94246574524667,11,30.0,1,2
TRAIN_014,28.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,113066.66666666667,416.0,0,0,0,0,0,0,0,3171.339345752867,2,,0,2
TRAIN_015,28.0,28.0,28.0,0,0,5400,0,0,0,0,0,0,0,0,400,113066.66666666667,16.0,0,0,0,0,0,0,0,51.64246574899667,19,30.0,2,2
TRAIN_016,28.0,28.0,28.0,1,0,0,0,0,0,0,0,0,0,0,0,113066.66666666667,416.0,0,0,0,0,0,0,0,3172.5893456278664,1,,2,2
TRAIN_017,28.0,28.0,28.0,0,0,5000,0,0,0,0,0,0,0,0,0,113066.66666666667,416.0,0,0,0,0,0,0,0,3171.339345752867,2,,1,2
TRAIN_018,28.0,28.0,28.0,0,0,5400,0,0,0,0,0,0,0,0,400,113066.66666666667,16.0,0,0,0,0,0,0,0,51.64246574899667,19,30.0,0,2
TRAIN_019,28.0,28.0,28.0,0,0,5400,0,0,0,0,0,0,0,0,400,113066.66666666667,16.0,0,0,0,0,0,0,0,51.64246574899667,19,30.0,0,2
TRAIN_020,28.0,28.0,28.0,0,0,5400,0,0,0,0,0,0,0,0,400,113066.66666666667,16.0,0,0,0,0,0,0,0,51.64246574899667,19,30.0,0,2
TRAIN_021,28.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,113066.66666666667,416.0,0,0,0,0,0,0,0,3171.339345752867,2,,1,2
TRAIN_022,28.0,28.0,28.0,0,0,5000,0,0,0,0,0,0,0,0,0,113066.66666666667,416.0,0,0,0,0,0,0,0,3171.339345752867,2,,2,2
TRAIN_023,28.0,28.0,28.0,0,0,5000,0,0,0,0,0,0,0,0,0,113066.66666666667,416.0,0,0,0,0,0,0,0,3171.339345752867,2,,1,2
TRAIN_024,28.0,28.0,28.0,0,0,5000,0,0,0,0,0,0,0,0,0,113066.66666666667,416.0,0,0,0,0,0,0,0,3171.339345752867,2,,1,2
