Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,OperationalStatus
Krishna,T01,15-09-2025,FALSE,TRUE,FALSE,12-08-2025,01-03-2026,10-07-2025,open,3,7,17-03-2023,TRUE,KMM-RLJ-WRP-25-01,288,320,16,4759,2339,7661,40,59,TRUE,booked,BAY_08,05-08-2023,15,0,1,Under_Maintenance
Tapti,T02,15-09-2025,TRUE,TRUE,TRUE,14-05-2026,22-04-2026,17-03-2026,close,0,0,01-02-2025,TRUE,KMM-RLJ-WRP-25-02,305,320,16,15033,1489,8511,11,17,FALSE,free,NULL,20-01-2023,1,0,1,In_Service
Nila,T03,15-09-2025,TRUE,TRUE,TRUE,08-07-2026,11-01-2026,02-06-2026,close,0,2,02-03-2025,FALSE,NULL,0,0,0,44506,1899,8101,59,38,FALSE,free,NULL,17-08-2023,12,1,2,In_Service
Sarayu,T04,15-09-2025,TRUE,TRUE,TRUE,09-21-2026,14-03-2026,10-08-2026,open,1,5,15-06-2025,TRUE,KMM-RLJ-WRP-25-03,308,320,16,384655,7466,1553,45,3,TRUE,in_progress,BAY_02,30-04-2023,10,2,3,In_Service
Aruth,T05,15-09-2025,TRUE,TRUE,TRUE,05-12-2026,30-09-2026,29-04-2026,close,0,1,19-08-2025,FALSE,NULL,0,0,0,6584,1533,8467,78,8,FALSE,free,NULL,06-04-2023,10,0,1,In_Service
Vaigai,T06,15-09-2025,TRUE,TRUE,TRUE,14-11-2026,19-07-2026,23-06-2026,open,1,7,28-07-2025,FALSE,NULL,0,0,0,348409,2248,7752,73,28,TRUE,booked,BAY_05,11-04-2023,15,0,1,Under_Maintenance
Jhanavi,T07,15-09-2025,TRUE,TRUE,TRUE,03-08-2026,27-05-2026,01-12-2026,open,1,1,23-08-2024,TRUE,KMM-RLJ-WRP-25-04,298,320,16,222811,6534,3466,91,65,FALSE,free,NULL,15-07-2024,1,0,1,In_Service
Dhwanil,T08,15-09-2025,FALSE,TRUE,FALSE,18-04-2025,15-01-2026,20-06-2025,open,4,1,24-09-2025,FALSE,NULL,0,0,0,338079,2314,7686,84,5,TRUE,in_progress,BAY_01,13-08-2023,3,2,3,Under_Maintenance
Bhavani,T09,15-09-2025,TRUE,TRUE,TRUE,25-02-2026,21-05-2026,18-04-2026,open,1,1,20-10-2025,TRUE,KMM-RLJ-WRP-25-05,303,320,16,126254,693,9307,25,99,FALSE,free,NULL,01-07-2024,2,0,1,In_Service
Padma,T10,15-09-2025,FALSE,TRUE,FALSE,29-07-2025,03-03-2026,02-05-2025,open,3,1,12-08-2025,FALSE,NULL,0,0,0,3584,891,9109,56,89,TRUE,booked,BAY_06,19-11-2023,12,0,1,Under_Maintenance
